('EBAS_VNAME', 'CFNAME', 'MATRIX_NAME')
('PCB_31', 'mass_concentration_of_polychlorinated_biphenyl_31_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_33', 'mass_concentration_of_polychlorinated_biphenyl_33_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_37', None, 'aerosol')
('PCB_4+10', 'mass_concentration_of_polychlorinated_biphenyl_4_10_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_40', 'mass_concentration_of_polychlorinated_biphenyl_40_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_41+71', 'mass_concentration_of_polychlorinated_biphenyl_41_71_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_42', 'mass_concentration_of_polychlorinated_biphenyl_42_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_44', 'mass_concentration_of_polychlorinated_biphenyl_44_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_45', 'mass_concentration_of_polychlorinated_biphenyl_45_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_46', 'mass_concentration_of_polychlorinated_biphenyl_46_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_47', 'mass_concentration_of_polychlorinated_biphenyl_47_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_48', 'mass_concentration_of_polychlorinated_biphenyl_48_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_49', 'mass_concentration_of_polychlorinated_biphenyl_49_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_52', 'mass_concentration_of_polychlorinated_biphenyl_52_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_56+60', 'mass_concentration_of_polychlorinated_biphenyl_56_60_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_6', 'mass_concentration_of_polychlorinated_biphenyl_6_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_64', 'mass_concentration_of_polychlorinated_biphenyl_64_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_66', 'mass_concentration_of_polychlorinated_biphenyl_66_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_7', 'mass_concentration_of_polychlorinated_biphenyl_7_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_70', None, 'aerosol')
('PCB_70+60', 'mass_concentration_of_polychlorinated_biphenyl_70_60_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_70+76', 'mass_concentration_of_polychlorinated_biphenyl_70_76_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_74', 'mass_concentration_of_polychlorinated_biphenyl_74_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_77', 'mass_concentration_of_polychlorinated_biphenyl_77_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_8', None, 'aerosol')
('PCB_8+5', 'mass_concentration_of_polychlorinated_biphenyl_8_5_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_81', 'mass_concentration_of_polychlorinated_biphenyl_81_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_82', 'mass_concentration_of_polychlorinated_biphenyl_82_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_83', 'mass_concentration_of_polychlorinated_biphenyl_83_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_84+89', 'mass_concentration_of_polychlorinated_biphenyl_84_89_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_85', 'mass_concentration_of_polychlorinated_biphenyl_85_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_87', 'mass_concentration_of_polychlorinated_biphenyl_87_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_91', 'mass_concentration_of_polychlorinated_biphenyl_91_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_95', 'mass_concentration_of_polychlorinated_biphenyl_95_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_97', 'mass_concentration_of_polychlorinated_biphenyl_97_in_dry_aerosol_particles_in _air', 'aerosol')
('PCB_99', 'mass_concentration_of_polychlorinated_biphenyl_99_in_dry_aerosol_particles_in _air', 'aerosol')
('TBCT', None, 'aerosol')
('acenaphthene', 'mass_concentration_of_acenaphthene_in_dry_aerosol_particles_in _air', 'aerosol')
