WMO306_CD,PATH_TX,SOURCE_VARIABLE_ID,SOURCE_MATRIX_ID,CF_STANDARD_NAME_TX,IUPAC_NAME_TX,DEFINITION_TX
10105,\Terrestrial\Land surface\Snow / Ice / Glacier\Snow,,,,,
12007,\Terrestrial\Land surface\Snow / Ice / Glacier\Snow\Presence of snow,,,,,A binary observation of the presence of snow cover at the measurement location.
12008,\Terrestrial\Land surface\Snow / Ice / Glacier\Snow\Water equivalent of snowfall,,,,,"Vertical depth of the water that would be obtained if the freshly fallen snow melted completely, which equates to the new snow mass per unit area."
10106,\Terrestrial\Land surface\Temperature,,,,,
10107,\Terrestrial\Land surface\Vegetation,,,,,
10108,\Terrestrial\River,,,,,
10109,\Terrestrial\River\Snow / Ice / Glacier,,,,,
10110,\Terrestrial\River\Snow / Ice / Glacier\Ice,,,,,
10111,\Terrestrial\Soil,,,,,
10112,\Terrestrial\Soil\Humidity,,,,,
10113,\Terrestrial\Soil\Temperature,,,,,
10114,\Terrestrial\Well,,,,,
